Neighborhood,Id,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - With retirement income,Margin of Error; Total: - With retirement income,Estimate; Total: - No retirement income,Margin of Error; Total: - No retirement income
Allegheny Center,1,870,93,124,35,746,90
Allegheny West,2,146,36,20,19,126,35
Allentown,3,1069.0,132.457540367,99.0,42.4381903478,970.0,135.565482332
Arlington,4,701.0,104.465305245,111.0,40.5092582011,590.0,98.3564944475
Arlington Heights,5,144,59,0,10,144,59
Banksville,6,1946.0,229.222599235,318.0,123.31666554,1628.0,226.565663771
Bedford Dwellings,7,723,53,32,20,691,52
Beechview,8,3567.0,258.027130357,620.0,122.335603975,2947.0,253.503451653
Beltzhoover,9,848.0,156.057681644,204.0,88.0284045067,644.0,142.105594541
Bloomfield,10,4571.0,205.494525475,508.0,90.2718117688,4063.0,208.968897208
Bluff,11,240.0,47.0,39.0,25.5342906696,201.0,43.4050688284
Bon Air,12,372,71,77,35,295,71
Brighton Heights,13,3222.0,192.234232123,566.0,99.4132787911,2656.0,205.34848429
Brookline,14,5843.0,327.694980128,1246.0,176.731434669,4597.0,336.597682702
California-Kirkbride,15,333,38,49,23,284,37
Carrick,16,4301.0,277.613040039,860.0,139.889241904,3441.0,278.479801782
Central Business District,17,1968.0,221.43847904,160.0,64.1950153829,1808.0,224.392513244
Central Lawrenceville,18,2338.0,171.57214226,376.0,87.9886356299,1962.0,180.174915013
Central Northside,19,1479.0,113.929802949,181.0,48.6415460281,1298.0,114.284732139
Central Oakland,20,1903.0,157.39758575,99.0,39.1024295921,1804.0,160.704698127
Chartiers City,21,271,60,88,41,183,70
Chateau,22,3,3,3,3,0,10
Crafton Heights,23,1677.0,126.795110316,229.0,56.5066367784,1448.0,133.764718816
Crawford-Roberts,24,1125.0,138.592929113,206.0,79.4040301244,919.0,140.356688476
Duquesne Heights,25,1170.0,125.207827231,207.0,56.2227711875,963.0,126.574088976
East Allegheny,26,1302.0,155.051604313,114.0,47.5078940809,1188.0,158.79546593
East Carnegie,27,264,39,36,16,228,39
East Hills,28,1325.0,165.508307949,295.0,85.761296632,1030.0,168.433963321
East Liberty,29,2902.0,249.248871613,340.0,111.906210729,2562.0,247.592406993
Elliott,30,953.0,120.370262109,141.0,47.3392015142,812.0,124.201449267
Esplen,31,142,48,14,16,128,49
Fairywood,32,428,81,28,22,400,79
Fineview,33,624.0,108.931170929,128.0,57.6888204074,496.0,106.103722838
Friendship,34,1074.0,122.065556157,23.0,33.5261092285,1051.0,126.194294641
Garfield,35,1571.0,116.914498673,262.0,62.9205848669,1309.0,119.272796563
Glen Hazel,36,241,80,23,20,218,82
Greenfield,37,3438.0,251.708164349,544.0,130.483715459,2894.0,262.726093109
Hays,38,185,43,23,17,162,46
Hazelwood,39,1870.0,201.881153157,349.0,91.9021218471,1521.0,197.43859805
